MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Megascops-roraimae,27.0,0.0,0.0,1.0,1.0,1.0
Mesembrinibis-cayennensis,69.0,0.0,0.0,1.0,1.0,1.0
Metopothrix-aurantiaca,66.0,0.0,6.0,0.9167,1.0,0.9565
Metriopelia-melanoptera,15.0,0.0,0.0,1.0,1.0,1.0
Micrastur-buckleyi,99.0,0.0,3.0,0.9706,1.0,0.9851
Micrastur-gilvicollis,99.0,0.0,18.0,0.8462,1.0,0.9167
Micrastur-ruficollis,150.0,0.0,0.0,1.0,1.0,1.0
Micrastur-semitorquatus,111.0,6.0,15.0,0.881,0.9487,0.9136
Microbates-cinereiventris,60.0,0.0,0.0,1.0,1.0,1.0
Microcerculus-bambla,36.0,0.0,3.0,0.9231,1.0,0.96
Micropygia-schomburgkii,204.0,0.0,0.0,1.0,1.0,1.0
Milvago-chimachima,138.0,0.0,0.0,1.0,1.0,1.0
Mimus-triurus,42.0,0.0,0.0,1.0,1.0,1.0
Mionectes-oleagineus,123.0,0.0,0.0,1.0,1.0,1.0
Mionectes-striaticollis,30.0,0.0,0.0,1.0,1.0,1.0
Molothrus-bonariensis,150.0,15.0,48.0,0.7576,0.9091,0.8264
Momotus-aequatorialis,66.0,3.0,6.0,0.9167,0.9565,0.9362
Monasa-morphoeus,24.0,0.0,0.0,1.0,1.0,1.0
Monasa-nigrifrons,123.0,0.0,0.0,1.0,1.0,1.0
Myadestes-ralloides,72.0,24.0,15.0,0.8276,0.75,0.7869
Mycteria-americana,381.0,0.0,6.0,0.9845,1.0,0.9922
Myiarchus-cephalotes,48.0,3.0,0.0,1.0,0.9412,0.9697
Myiarchus-ferox,189.0,0.0,0.0,1.0,1.0,1.0
Myiarchus-swainsoni,84.0,0.0,0.0,1.0,1.0,1.0
Myiarchus-tyrannulus,93.0,0.0,6.0,0.9394,1.0,0.9688
Myiobius-atricaudus,90.0,3.0,0.0,1.0,0.9677,0.9836
Myiobius-barbatus,42.0,3.0,3.0,0.9333,0.9333,0.9333
Myiobius-villosus,66.0,3.0,3.0,0.9565,0.9565,0.9565
Myioborus-melanocephalus,78.0,3.0,3.0,0.963,0.963,0.963
Myioborus-miniatus,54.0,9.0,0.0,1.0,0.8571,0.9231
Myiodynastes-luteiventris,42.0,0.0,396.0,0.0959,1.0,0.175
Myiodynastes-maculatus,141.0,9.0,0.0,1.0,0.94,0.9691
Myiopagis-caniceps,156.0,0.0,9.0,0.9455,1.0,0.972
Myiopagis-gaimardii,78.0,6.0,54.0,0.5909,0.9286,0.7222
Myiopagis-viridicata,54.0,0.0,36.0,0.6,1.0,0.75
Myiornis-ecaudatus,78.0,0.0,0.0,1.0,1.0,1.0
Myiothlypis-bivittata,81.0,0.0,0.0,1.0,1.0,1.0
