MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Icterus-croconotus,33.0,21.0,0.0,1.0,0.6111,0.7586
Ictinia-mississippiensis,21.0,6.0,6.0,0.7778,0.7778,0.7778
Ictinia-plumbea,21.0,0.0,12.0,0.6364,1.0,0.7778
Inezia-inornata,18.0,3.0,12.0,0.6,0.8571,0.7059
Iodopleura-isabellae,81.0,33.0,42.0,0.6585,0.7105,0.6835
Iridophanes-pulcherrimus,15.0,3.0,15.0,0.5,0.8333,0.625
Iridosornis-analis,132.0,6.0,51.0,0.7213,0.9565,0.8224
Isleria-hauxwelli,12.0,0.0,3.0,0.8,1.0,0.8889
Ixobrychus-exilis,15.0,0.0,3.0,0.8333,1.0,0.9091
Jabiru-mycteria,30.0,18.0,24.0,0.5556,0.625,0.5882
Jacamerops-aureus,21.0,18.0,6.0,0.7778,0.5385,0.6364
Klais-guimeti,3.0,27.0,3.0,0.5,0.1,0.1667
Knipolegus-aterrimus,6.0,0.0,0.0,1.0,1.0,1.0
Knipolegus-hudsoni,18.0,9.0,33.0,0.3529,0.6667,0.4615
Lamprospiza-melanoleuca,123.0,3.0,24.0,0.8367,0.9762,0.9011
Laniisoma-elegans,42.0,30.0,48.0,0.4667,0.5833,0.5185
Laniocera-hypopyrra,45.0,0.0,3.0,0.9375,1.0,0.9677
Legatus-leucophaius,108.0,15.0,3.0,0.973,0.878,0.9231
Lepidothrix-coronata,108.0,36.0,21.0,0.8372,0.75,0.7912
Leptodon-cayanensis,57.0,0.0,9.0,0.8636,1.0,0.9268
Leptopogon-amaurocephalus,3.0,0.0,0.0,1.0,1.0,1.0
Leptopogon-superciliaris,12.0,9.0,0.0,1.0,0.5714,0.7273
Leptopogon-taczanowskii,75.0,12.0,15.0,0.8333,0.8621,0.8475
Leptosittaca-branickii,21.0,0.0,0.0,1.0,1.0,1.0
Leptotila-rufaxilla,33.0,6.0,6.0,0.8462,0.8462,0.8462
Leptotila-verreauxi,33.0,0.0,21.0,0.6111,1.0,0.7586
Leucopternis-melanops,30.0,0.0,3.0,0.9091,1.0,0.9524
Liosceles-thoracicus,39.0,45.0,174.0,0.1831,0.4643,0.2626
Lochmias-nematura,27.0,111.0,3.0,0.9,0.1957,0.3214
Lophostrix-cristata,69.0,21.0,48.0,0.5897,0.7667,0.6667
Lurocalis-rufiventris,15.0,27.0,3.0,0.8333,0.3571,0.5
Lurocalis-semitorquatus,3.0,3.0,0.0,1.0,0.5,0.6667
Machaeropterus-pyrocephalus,36.0,39.0,21.0,0.6316,0.48,0.5455
Malacoptila-fulvogularis,12.0,24.0,12.0,0.5,0.3333,0.4
Margarornis-squamiger,33.0,15.0,0.0,1.0,0.6875,0.8148
Mecocerculus-leucophrys,138.0,24.0,0.0,1.0,0.8519,0.92
Megaceryle-torquata,3.0,9.0,3.0,0.5,0.25,0.3333
Megarynchus-pitangua,21.0,0.0,0.0,1.0,1.0,1.0
Megascops-ingens,18.0,9.0,0.0,1.0,0.6667,0.8
Mesembrinibis-cayennensis,54.0,15.0,0.0,1.0,0.7826,0.878
Metopothrix-aurantiaca,33.0,33.0,15.0,0.6875,0.5,0.5789
Micrastur-gilvicollis,30.0,0.0,18.0,0.625,1.0,0.7692
